Country,Approximate arrival date,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags,_submission_meta/rootUuid
Iceland,2014,1,Secondary Irregular Migration Research,1,743872185,7dc18cd6-bb91-4ddf-948b-0863d3c159e7,2026-01-27,,,submitted_via_web,,vwvgeUpniDjo8ictooUJxu,,uuid:7dc18cd6-bb91-4ddf-948b-0863d3c159e7
Other,2016,2,Secondary Irregular Migration Research,1,743872185,7dc18cd6-bb91-4ddf-948b-0863d3c159e7,2026-01-27,,,submitted_via_web,,vwvgeUpniDjo8ictooUJxu,,uuid:7dc18cd6-bb91-4ddf-948b-0863d3c159e7
Belgium,2024,3,Secondary Irregular Migration Research,1,743872185,7dc18cd6-bb91-4ddf-948b-0863d3c159e7,2026-01-27,,,submitted_via_web,,vwvgeUpniDjo8ictooUJxu,,uuid:7dc18cd6-bb91-4ddf-948b-0863d3c159e7
Greece,2021,4,Secondary Irregular Migration Research,2,744148801,7011554f-7d26-4cd7-aaac-6cb05ccace88,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:7011554f-7d26-4cd7-aaac-6cb05ccace88
Belgium,2025,5,Secondary Irregular Migration Research,2,744148801,7011554f-7d26-4cd7-aaac-6cb05ccace88,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:7011554f-7d26-4cd7-aaac-6cb05ccace88
Greece,2022,6,Secondary Irregular Migration Research,3,744194714,abe674de-3bd7-47b9-8870-49b99a9c6b11,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:abe674de-3bd7-47b9-8870-49b99a9c6b11
Belgium,2022,7,Secondary Irregular Migration Research,3,744194714,abe674de-3bd7-47b9-8870-49b99a9c6b11,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:abe674de-3bd7-47b9-8870-49b99a9c6b11
Greece,2021,8,Secondary Irregular Migration Research,4,744301710,9dc18d1a-eb60-468e-95e6-73fa43dc0dc7,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:9dc18d1a-eb60-468e-95e6-73fa43dc0dc7
Belgium,,9,Secondary Irregular Migration Research,4,744301710,9dc18d1a-eb60-468e-95e6-73fa43dc0dc7,2026-01-28,,,submitted_via_web,,vUpNNkYxk2iCvzpou8sBB9,,uuid:9dc18d1a-eb60-468e-95e6-73fa43dc0dc7
Greece,2020,10,Secondary Irregular Migration Research,5,744568660,6ad9f46b-e242-4efe-aa4a-9ac55aede09f,2026-01-29,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:6ad9f46b-e242-4efe-aa4a-9ac55aede09f
France,2021,11,Secondary Irregular Migration Research,5,744568660,6ad9f46b-e242-4efe-aa4a-9ac55aede09f,2026-01-29,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:6ad9f46b-e242-4efe-aa4a-9ac55aede09f
Belgium,2022,12,Secondary Irregular Migration Research,5,744568660,6ad9f46b-e242-4efe-aa4a-9ac55aede09f,2026-01-29,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:6ad9f46b-e242-4efe-aa4a-9ac55aede09f
Greece,2023,13,Secondary Irregular Migration Research,6,744600806,6f6dfe58-6342-417b-b19c-020af334bc04,2026-01-29,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:6f6dfe58-6342-417b-b19c-020af334bc04
Belgium,2024,14,Secondary Irregular Migration Research,6,744600806,6f6dfe58-6342-417b-b19c-020af334bc04,2026-01-29,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:6f6dfe58-6342-417b-b19c-020af334bc04
Netherlands,2024,15,Secondary Irregular Migration Research,7,745244486,09b78652-cfba-438c-8d18-97a1ed2e74bc,2026-02-01,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:09b78652-cfba-438c-8d18-97a1ed2e74bc
Belgium,2025,16,Secondary Irregular Migration Research,7,745244486,09b78652-cfba-438c-8d18-97a1ed2e74bc,2026-02-01,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:09b78652-cfba-438c-8d18-97a1ed2e74bc
Greece,2019,17,Secondary Irregular Migration Research,8,745264343,3d89092b-92df-4115-9bc3-bc92a112561d,2026-02-01,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:3d89092b-92df-4115-9bc3-bc92a112561d
France,2022,18,Secondary Irregular Migration Research,8,745264343,3d89092b-92df-4115-9bc3-bc92a112561d,2026-02-01,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:3d89092b-92df-4115-9bc3-bc92a112561d
Belgium,2024,19,Secondary Irregular Migration Research,8,745264343,3d89092b-92df-4115-9bc3-bc92a112561d,2026-02-01,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:3d89092b-92df-4115-9bc3-bc92a112561d
Spain,2023,20,Secondary Irregular Migration Research,9,746078609,c565498c-6499-4b7e-beba-6bd2f930f959,2026-02-04,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:c565498c-6499-4b7e-beba-6bd2f930f959
Belgium,2024,21,Secondary Irregular Migration Research,9,746078609,c565498c-6499-4b7e-beba-6bd2f930f959,2026-02-04,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:c565498c-6499-4b7e-beba-6bd2f930f959
Italy,2025,22,Secondary Irregular Migration Research,10,746112880,19cbfd71-b357-414a-b783-e5f74ef3ff88,2026-02-04,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:19cbfd71-b357-414a-b783-e5f74ef3ff88
France,2025,23,Secondary Irregular Migration Research,10,746112880,19cbfd71-b357-414a-b783-e5f74ef3ff88,2026-02-04,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:19cbfd71-b357-414a-b783-e5f74ef3ff88
Belgium,2025,24,Secondary Irregular Migration Research,10,746112880,19cbfd71-b357-414a-b783-e5f74ef3ff88,2026-02-04,,,submitted_via_web,,vNfrTbKaxYhVVUwGCc7DZs,,uuid:19cbfd71-b357-414a-b783-e5f74ef3ff88
